prdtypecode,Category
10,Adult Books
40,Imported Video Games
50,Video Games Accessories
60,Games and Consoles
1140,Figurines and Toy Pop
1160,Playing Cards
1180,"Figurines, Masks, and Role-Playing Games"
1280,Toys for Children
1281,Board Games
1300,Remote Controlled Models
1301,Accessories for Children
1302,"Toys, Outdoor Playing, and Clothes"
1320,Early Childhood
1560,Interior Furniture and Bedding
1920,Interior Accessories
1940,Food
2060,Decoration Interior
2220,Supplies for Domestic Animals
2280,Magazines
2403,Children Books and Magazines
2462,Games
2522,Stationery
2582,"Furniture, Kitchen, and Garden"
2583,Piscine and Spa
2585,Gardening and DIY
2705,Books
2905,Online Distribution of Video Games
